SAMPN,geoid
1797350,6.0816E+13
1982908,6.0816E+13
1787004,6.0816E+13
1961915,6.0816E+13
1870728,6.0816E+13
1456036,6.0816E+13
1519314,6.0816E+13
1491417,6.0816E+13
1516522,6.0816E+13
1888375,6.0816E+13
2463400,6.0816E+13
7011073,6.0816E+13
1143918,6.0816E+13
7010799,6.0816E+13
1460384,6.0816E+13
1887895,6.0816E+13
1910777,6.0816E+13
1155333,6.0816E+13
1843184,6.0816E+13
2485632,6.07503E+13
2580333,6.07503E+13
1814487,6.07503E+13
7205272,6.07503E+13
7164157,6.07503E+13
1756037,6.07503E+13
1488049,6.07503E+13
2472333,6.07503E+13
1446567,6.07503E+13
7164700,6.07503E+13
7017463,6.07503E+13
7198525,6.07503E+13
1167681,6.07504E+13
1836678,6.07504E+13
7016551,6.07504E+13
1702535,6.07504E+13
2019404,6.07505E+13
2203501,6.07505E+13
1772950,6.07505E+13
1742526,6.07505E+13
1148075,6.07505E+13
7018256,6.07506E+13
2226734,6.0816E+13
1532257,6.0816E+13
1841906,6.0816E+13
2227257,6.0816E+13
7009032,6.0816E+13
1456353,6.0816E+13
2227309,6.0816E+13
7159911,6.0816E+13
2228452,6.0816E+13
7188130,6.0816E+13
1350715,6.0816E+13
1155812,6.0816E+13
7011032,6.0816E+13
1841188,6.0816E+13
1529149,6.0816E+13
1470533,6.0816E+13
2384894,6.0816E+13
7011115,6.0816E+13
1642464,6.0816E+13
1125257,6.0816E+13
7010742,6.0816E+13
2009239,6.0816E+13
