"TABLE 10a: Weekday Person Trips Per Household"
""
"County","HHUT","VOWN","HH","HO","HS","HW","OO","WO","WW","zTOT"
"Glenn","Single","0",NA,0.164733048677062,0.225769787954511,NA,0.0750095895286251,NA,NA,0.465512426160198
"Glenn","Single","1",0.648368229883108,1.20763832517068,1.0054113674202,0.593609850382392,0.942955266219567,0.323812598268052,NA,4.721795637344
"Glenn","Single","2",0.214895317614794,2.23137868656215,0.561099406274203,2.04677687853209,1.309281319152,0.630909122202777,0.108931570486705,7.10327230082472
"Glenn","Single","3+",0.0832968885306564,4.43630328082688,0.199938178635258,2.7362952210682,2.76902982668865,0.697410612664477,0.0401222038276715,10.9623962122418
"Glenn","Single","Subtotal",0.284288264810038,2.53253206840203,0.551960221235442,1.7330218526651,1.6061028791835,0.527257942715296,0.0488532217456666,7.28401645075708
"Glenn","Total","&nbsp;",0.326335925099208,2.96380198717686,0.489213883726586,1.73855591341242,1.65350289901888,0.485767309943513,0.0990796319857189,7.75625755036318
"Humboldt","Multiple","0",NA,2.41432618735565,0.628872626934778,0.60970786293937,0.300172533075484,NA,NA,3.95307921030529
"Humboldt","Multiple","1",NA,2.54415394094113,1.11312231057166,1.03882238529922,0.814045848023843,0.405995359762165,NA,5.91613984459802
"Humboldt","Multiple","2",NA,5.02691078267176,1.2827366747979,1.49753552751151,1.71329694749468,0.56325798711666,NA,10.0837379195925
"Humboldt","Multiple","Subtotal",NA,2.82901080981586,1.00637271553397,0.98389386711668,0.793275219113095,0.318433097094591,NA,5.9309857086742
"Humboldt","Single","0",NA,0.195532041518942,0.223445399324974,NA,0.223445399324974,NA,NA,0.642422840168891
"Humboldt","Single","1",NA,1.4215374179575,0.861444367573618,0.885409444656817,1.06677672913806,0.341108564782833,0.0546000838158083,4.63087660792464
"Humboldt","Single","2",0.237437523653021,2.95274713980931,0.787864561977446,1.3287918078339,2.10609180045158,0.478277290450895,0.0338026562678531,7.925012780444
"Humboldt","Single","3+",0.311811337966233,3.77914931793843,0.799088278017887,1.73765456463936,2.71960543544436,0.324656058587071,0.0527267297195493,9.72469172231289
"Humboldt","Single","Subtotal",0.175796001909917,2.59639055703096,0.794708398416714,1.2479147960764,1.87597621353381,0.38660016153444,0.0433378300561886,7.12072395855842
"Humboldt","Total","&nbsp;",0.146100011289608,2.63568547141891,0.830463372975175,1.2033155848044,1.69308309750383,0.375085175503887,0.0360170731511903,6.919749786647
"Imperial","Multiple","0",0.0974113093669244,1.69822579144255,1.14791857559265,0.0532840354248105,0.299681356924105,NA,NA,3.29652106875103
"Imperial","Multiple","1",0.621958516259826,1.47570256777419,0.688643919690523,0.816904695224941,0.719417371093179,0.0837836878080678,NA,4.40641075785073
"Imperial","Multiple","2",0.443339911671157,5.8334367693833,2.53910124669071,1.87632328629637,4.58430130170182,0.445451537112159,0.33154312993364,16.0534971827892
"Imperial","Multiple","3+",NA,2.12702025591158,3.92561221549733,1.67202652290244,0.938950803384943,NA,NA,8.66360979769629
"Imperial","Multiple","Subtotal",0.405669732829532,2.64142327448028,1.5174067904961,0.971610569356287,1.58150453158187,0.145434686364169,0.0806205690477562,7.34367015415599
"Imperial","Single","0",NA,1.1753375101187,NA,NA,0.0890398620922302,NA,NA,1.26437737221093
"Imperial","Single","1",0.248052020967184,2.23684247261824,0.391260015860737,0.488389833130325,1.14460123664388,0.095123500545073,NA,4.60426907976544
"Imperial","Single","2",0.806447515622256,5.66595414535969,1.15545456730995,2.41323620967279,1.84509409516601,0.417991821159026,0.0398146031949089,12.3439929574846
"Imperial","Single","3+",0.592552829018661,7.80769798855856,0.728690997802457,2.8275468181219,3.06057495463692,1.13122884914666,0.103597060124332,16.2518894974095
"Imperial","Single","Subtotal",0.539731057236211,4.98807591888776,0.750993444216925,1.82765215969966,1.86144644323958,0.492172153015334,0.0432197534525421,10.503290929748
"Imperial","Total","&nbsp;",0.510441080035408,4.47537471474036,0.918440913039557,1.64062253892674,1.80028419345358,0.41641628130644,0.0513911559127484,9.81297087741484
"Inyo","Multiple","0",NA,0.813385146135172,NA,0.164063155828737,NA,1.57981957165156,NA,2.55726787361547
"Inyo","Multiple","1",NA,0.680647484612037,0.20476488170546,0.0366186904902563,0.799949655027022,NA,NA,1.72198071183477
"Inyo","Multiple","2",NA,2.64844892151796,0.10655940724871,1.90333094197166,1.02818211761157,0.815113777713232,NA,6.50163516606314
"Inyo","Multiple","3+",NA,1.58163191035255,NA,2.66630507252615,0.491010900148981,NA,NA,4.73894788302768
"Inyo","Multiple","Subtotal",NA,1.10250683264929,0.124076199069241,0.688006406402468,0.637991636754953,0.407081242346602,NA,2.95966231722255
"Inyo","Single","1",0.167147632791677,1.20151763933493,0.0954681001313769,0.786450311496542,0.380377485968842,0.243055647276324,0.106839036475173,2.98085585347486
