"TABLE 15: Weekday Driver Trips Per Vehicle"
""
"County","INCOM","Single","Multiple","Total"
"Contra Costa","$250,000 or more",4.30499670013764,NA,4.30499670013764
"Contra Costa","DK ",5.12019595768346,5.11805944519071,5.11988740205277
"Contra Costa","RF",5.0956265550967,4.10585448038751,5.02340829698124
"Contra Costa","Total",3.60162287564104,3.95456177747397,3.63326351211543
"Del Norte","$0 to $9,999",2.40618350269462,2.27967979407806,2.34045362291407
"Del Norte","$10,000 to $24,999",6.14729993922778,1.87473058184243,5.32982681142376
"Del Norte","$25,000 to $34,999",1.95486287574666,1.38937232028133,1.80715192770085
"Del Norte","$35,000 to $49,999",6.04827436198445,NA,6.04827436198445
"Del Norte","$50,000 to $74,999",2.15629949117207,0.891967511554674,2.09062906564486
"Del Norte","$75,000 to $99,999",4.11451622818699,NA,4.11451622818699
