"TABLE 9: Weekday Trip Type Distribution"
""
"County","Trip.Type","Number","Percent"
"Plumas","HO",21287.5102377479,41.13
"Plumas","OO",15121.7816666154,29.22
"Plumas","HW",6115.91993199612,11.82
"Plumas","HS",5348.5917651442,10.33
"Plumas","WO",2697.00175873065,5.21
"Plumas","HH",1183.78874243808,2.29
"Plumas","TOTAL",51755,100
"Riverside","HO",2332469.5774449,44.73
"Riverside","OO",1080718.48031567,20.72
"Riverside","HW",832042.719938634,15.95
"Riverside","HS",533955.221792393,10.24
"Riverside","WO",217247.45378656,4.17
"Riverside","HH",205087.560326036,3.93
"Riverside","WW",13578.0935886662,0.26
"Riverside","TOTAL",5215099,100
"Sacramento","HO",1776826.27672635,45.81
"Sacramento","OO",783260.016374022,20.19
"Sacramento","HW",610340.410425496,15.73
"Sacramento","HS",401705.163244709,10.36
"Sacramento","WO",181106.599219857,4.67
"Sacramento","HH",116138.75063771,2.99
"Sacramento","WW",9677.92280050309,0.25
"Sacramento","TOTAL",3879055,100
"San Benito","HO",62159.8664130657,39.86
"San Benito","OO",37334.0307747706,23.94
"San Benito","HW",24072.5845185659,15.44
"San Benito","HS",17246.6209386166,11.06
"San Benito","WO",11306.604724811,7.25
"San Benito","HH",3362.71429111452,2.16
"San Benito","WW",463.571523092342,0.3
"San Benito","TOTAL",155946,100.01
"San Bernardino","HO",2116819.36343192,43.62
"San Bernardino","OO",989215.275095125,20.38
"San Bernardino","HW",805205.19450397,16.59
"San Bernardino","HS",600394.238380859,12.37
"San Bernardino","WO",192462.149788627,3.97
"San Bernardino","HH",136569.749807594,2.81
"San Bernardino","WW",12232.9610049564,0.25
"San Bernardino","TOTAL",4852899,99.99
"San Diego","HO",3650231.59790417,43.71
"San Diego","OO",1727811.42453698,20.69
"San Diego","HW",1274790.93743684,15.26
"San Diego","HS",1019560.83936441,12.21
"San Diego","WO",405794.556890339,4.86
"San Diego","HH",249681.838925678,2.99
"San Diego","WW",23401.6842401166,0.28
"San Diego","TOTAL",8351273,100
"San Francisco","HO",988174.713359378,38.37
"San Francisco","OO",609471.9720906,23.66
"San Francisco","HW",415372.97879557,16.13
"San Francisco","HS",253048.782959082,9.82
"San Francisco","WO",237742.391625362,9.23
"San Francisco","HH",61333.2086092861,2.38
"San Francisco","WW",10547.4179373849,0.41
"San Francisco","TOTAL",2575691,100
"San Joaquin","HO",729569.795006762,42.27
"San Joaquin","OO",354892.513358397,20.56
"San Joaquin","HW",321994.335142977,18.65
"San Joaquin","HS",193770.906672628,11.23
"San Joaquin","WO",59202.2221564679,3.43
"San Joaquin","HH",37580.3002178397,2.18
"San Joaquin","WW",29064.6553928974,1.68
"San Joaquin","TOTAL",1726075,100
"San Luis Obispo","HO",323023.376513984,40.11
"San Luis Obispo","OO",217609.719028096,27.02
"San Luis Obispo","HW",118614.809579872,14.73
"San Luis Obispo","HS",89690.0492056101,11.14
"San Luis Obispo","WO",34863.7260176526,4.33
"San Luis Obispo","HH",18866.0128843796,2.34
"San Luis Obispo","WW",2776.3802876432,0.34
"San Luis Obispo","TOTAL",805444,100.01
"San Mateo","HO",933981.223569782,41.33
"San Mateo","OO",439090.75651531,19.43
"San Mateo","HW",405670.451268826,17.95
"San Mateo","HS",216546.848064252,9.58
"San Mateo","WO",189479.177007884,8.38
"San Mateo","HH",67339.1938683173,2.98
"San Mateo","WW",7979.68952583571,0.35
"San Mateo","TOTAL",2260087,100
"Santa Barbara","HO",553647.215624761,43.62
"Santa Barbara","OO",241834.91024171,19.05
"Santa Barbara","HW",240094.872210302,18.91
"Santa Barbara","HS",108114.293961262,8.52
"Santa Barbara","WO",84209.096552819,6.63
"Santa Barbara","HH",35091.1121245778,2.76
"Santa Barbara","WW",6360.57286434065,0.5
"Santa Barbara","TOTAL",1269352,99.99
"Santa Clara","HO",2326016.3567639,42.99
"Santa Clara","OO",1031575.20856641,19.06
"Santa Clara","HW",936858.576425859,17.31
"Santa Clara","HS",534785.255501898,9.88
"Santa Clara","WO",392689.619106347,7.26
"Santa Clara","HH",178275.154710445,3.29
"Santa Clara","WW",10659.8331791006,0.2
"Santa Clara","TOTAL",5410860,99.99
"Santa Cruz","HO",315881.668095482,42.82
"Santa Cruz","OO",158397.771670284,21.47
"Santa Cruz","HW",113332.820466747,15.36
"Santa Cruz","HS",90436.693250522,12.26
"Santa Cruz","WO",38440.0783979988,5.21
"Santa Cruz","HH",18474.5576536059,2.5
"Santa Cruz","WW",2680.05990720771,0.36
"Santa Cruz","TOTAL",737644,99.98
"Shasta","HO",192108.631319118,37.62
"Shasta","OO",144869.604080605,28.37
"Shasta","HW",79986.7164487088,15.67
"Shasta","HS",54052.5344755814,10.59
"Shasta","WO",21022.4055273805,4.12
"Shasta","HH",15817.855161539,3.1
"Shasta","WW",2742.79888513126,0.54
"Shasta","TOTAL",510601,100.01
"Sierra","HO",3940.43867698155,55.4
"Sierra","OO",1440.37903900058,20.25
"Sierra","HW",993.173114694763,13.96
"Sierra","HS",447.950313335237,6.3
"Sierra","WO",202.525852214211,2.85
"Sierra","HH",64.8376148565072,0.91
"Sierra","WW",23.610112291893,0.33
"Sierra","TOTAL",7113,100
"Siskiyou","HO",48604.2017124441,42.5
"Siskiyou","OO",28296.9180390937,24.75
"Siskiyou","HW",21410.0120810022,18.72
"Siskiyou","HS",11021.9512664197,9.64
"Siskiyou","WO",2874.50429913097,2.51
"Siskiyou","HH",2142.53558622621,1.87
"Siskiyou","TOTAL",114350,99.99
"Solano","HO",477662.526929553,41.93
"Solano","OO",220248.834956778,19.33
"Solano","HW",209571.300333394,18.4
"Solano","HS",114517.034423659,10.05
"Solano","WO",71329.0483959832,6.26
"Solano","HH",44195.4777898847,3.88
"Solano","WW",1754.54276372506,0.15
"Solano","TOTAL",1139279,100
"Sonoma","HO",601488.436143039,40.43
"Sonoma","OO",336895.476206763,22.65
"Sonoma","HW",241506.74615951,16.23
"Sonoma","HS",152243.591394182,10.23
"Sonoma","WO",112350.443660851,7.55
"Sonoma","HH",38311.7615425674,2.58
"Sonoma","WW",4824.26823817752,0.32
"Sonoma","TOTAL",1487621,99.99
"Stanislaus","HO",507058.564814172,42.82
"Stanislaus","OO",224913.040275323,18.99
"Stanislaus","HW",222400.787119291,18.78
"Stanislaus","HS",154653.466987137,13.06
"Stanislaus","WO",42067.306374371,3.55
"Stanislaus","HH",31725.3325813666,2.68
"Stanislaus","WW",1358.83919243086,0.11
"Stanislaus","TOTAL",1184177,99.99
