"TABLE 54: Daily Travel Statistics by Weekday vs Weekend for each County"
""
"hCTFIP","County","WD","Vehicle Trips per Driver","Pct Works Trip","Pct Non-Work Trips","VMT per Driver","Average Trip Length","Average Trip Duration","Person Trips per Person","Person Miles per Person","Average Person Trip Length"
29,"Kern","Sat/Sun",3.2252707184186,12.5617073409434,87.4382926590566,34.6716218028521,9.82954334275521,19.1383217198529,3.52166129922118,55.7410211887351,15.8346543282595
31,"Kings","Weekday",3.43357167966974,31.1766885824593,68.8233114175407,35.1461416621817,9.28391278846223,17.9455610125043,3.57369035739471,33.5477619180266,9.40517141748909
31,"Kings","Sat/Sun",3.28767835974842,8.53639490817149,91.4636050918285,38.7982436806204,10.444991671912,20.5701774682844,3.40796072130203,34.1052132506521,10.0340892006423
33,"Lake","Weekday",3.26138642206539,28.2735000631321,71.7264999368679,62.5150225333964,17.3841205328629,28.1788661288278,3.67071716020301,61.777110318083,16.8315137320262
33,"Lake","Sat/Sun",2.9415834240168,16.5600265895746,83.4399734104254,42.5705086362051,13.4603968905513,25.2209867027626,3.36705638278181,61.2756193411568,18.1985723953134
35,"Lassen","Weekday",3.90175226136641,21.8072172354732,78.1927827645268,57.0016532570636,11.8072749081905,19.1792180682403,4.67342722157884,64.9797970225032,13.9040994845215
35,"Lassen","Sat/Sun",4.49104930402133,4.3809547580863,95.6190452419137,49.2229827160072,10.2001114960104,20.5798776045492,4.1282796767971,49.6635003185971,12.030071653752
37,"Los Angeles","Weekday",3.27147133187899,39.6146112205973,60.3853887794026,29.9149174833364,8.66517177965578,23.4161772049004,3.35271525975277,32.3332764089805,9.68268951429419
37,"Los Angeles","Sat/Sun",3.3486393843334,14.1071919592878,85.8928080407122,31.3687239958974,8.86963897547703,21.9944466261623,3.54012679353669,39.1057393945297,11.0578987600189
39,"Madera","Weekday",3.26741931794308,40.0270593085826,59.9729406914174,39.1267386210047,10.8862029176222,20.0208010252978,3.36515456816792,40.263662266617,11.9940652839603
39,"Madera","Sat/Sun",3.1299443682192,13.2707789247995,86.7292210752005,40.8232892023471,11.7511912603969,24.6747551588431,3.59469403345626,39.7015149932651,11.0444768382951
41,"Marin","Weekday",3.70004942178324,28.5183426223935,71.4816573776065,35.4452138065819,8.95313658096216,20.9755690350204,3.85351648339034,47.2726190902257,12.3371081365201
41,"Marin","Sat/Sun",3.86512088611121,15.0917527453853,84.9082472546147,45.8601056512947,10.4605035289763,13.7191781978898,4.42147381219241,41.1881876044318,9.31548830863898
43,"Mariposa","Weekday",3.01428482620715,33.1177443176682,66.8822556823318,41.3463369823818,12.483508598149,25.3077937908291,3.35477828931645,41.8764929437008,12.4826409772174
43,"Mariposa","Sat/Sun",3.23358734872296,10.7166677007028,89.2833322992972,73.434477367398,20.8118922812786,32.9363680830075,3.15734217672182,68.201674727201,21.6009766790665
45,"Mendocino","Weekday",3.45693931911328,40.269664020474,59.730335979526,25.7388617452532,6.57386157265003,16.2296625470527,3.71942337215468,25.5013376512662,6.86519053275872
45,"Mendocino","Sat/Sun",3.46262457946009,27.32379411925,72.67620588075,20.7508612120895,5.20676711208419,14.451668719621,4.0029656344888,24.1695396303729,6.03790835028227
47,"Merced","Weekday",3.71118795143208,33.3536774367781,66.6463225632219,31.2157522295415,7.42809030747374,16.5054928158642,4.06569293865657,28.8551165043627,7.13153895617149
47,"Merced","Sat/Sun",3.04319601998458,10.1154652781836,89.8845347218164,40.0003529635931,11.7057515782949,21.0041084921708,3.84594741386924,55.8609737849545,14.5335341567007
49,"Modoc","Weekday",2.98378469343158,37.7519853705851,62.2480146294149,34.4663337860213,9.28530301874502,16.0252733662914,3.65884315963056,30.0859684233059,8.2228089892609
49,"Modoc","Sat/Sun",3.46305023560395,7.66415853892127,92.3358414610787,56.3296576776111,15.361144316291,24.0792516604749,3.45770011121112,51.1584683629217,14.7955191941161
51,"Mono","Weekday",3.37227395946651,34.8450379173775,65.1549620826225,35.2896253828935,9.03377022159757,14.4133172292318,3.69695193597243,37.4419362471632,10.1277855096903
51,"Mono","Sat/Sun",2.83208686629674,16.2578137634806,83.7421862365194,20.1514575125081,6.19932392998548,15.2643013992454,3.61787530791171,26.4816319613299,7.3196640866585
