"TABLE 17a: Weekday Linked and Unlinked Trips Distributed by Particular Travel Mode and Group"
""
"County","TRAVEL MODE GROUP","MODE","Number of Unlinked Trips","Percent of Total Unlinked","Number of Linked Trips","Percent of Total Linked"
"Santa Cruz","&nbsp;","Bike",34227.7506948251,3,31703,3.4
"Santa Cruz","&nbsp;","Other Non-Motorized ",2549.26767240921,0.2,2435,0.3
"Santa Cruz","&nbsp;","Wheelchair / Mobilit",972.246107308659,0.1,NA,NA
"Santa Cruz","&nbsp;","TOTAL",180968.925512674,16,120223,12.9
"Santa Cruz","ALL GROUPS","TOTAL",1128121.61544519,100,933113,100
"Shasta","Vehicle Driver","Auto / Van / Truck D",452655.683356974,64.9,404937,64.7
"Shasta","&nbsp;","Motorcycle / Scooter",447.918720358057,0.1,448,0.1
"Shasta","&nbsp;","Rental Car/Vehicle",161.199414368941,0,161,0
"Shasta","&nbsp;","TOTAL",453264.801491701,65,405546,64.8
"Shasta","Vehicle Passenger","Auto / Van / Truck P",192232.584535032,27.6,174028,27.8
"Shasta","&nbsp;","Other Private Transi",770.827783880301,0.1,771,0.1
"Shasta","&nbsp;","Carpool / Vanpool",470.903419056998,0.1,471,0.1
"Shasta","&nbsp;","TOTAL",193474.31573797,27.7,175270,28
"Shasta","Local Public Transit","School Bus ",9915.67461427699,1.4,7393,1.2
"Shasta","&nbsp;","Dial-a-Ride / Paratr",2633.7632311267,0.4,2634,0.4
"Shasta","&nbsp;","Local Bus, Rapid Bus",863.606356394531,0.1,864,0.1
"Shasta","&nbsp;","TOTAL",13413.0442017982,1.9,10890,1.7
"Shasta","Intercity Public Transportation","Plane",1156.84046234971,0.2,911,0.1
"Shasta","&nbsp;","TOTAL",1156.84046234971,0.2,911,0.1
"Shasta","Miscelleneous Modes","Walk",22798.0798327523,3.3,19843,3.2
"Shasta","&nbsp;","Bike",13578.0358945048,1.9,13050,2.1
"Shasta","&nbsp;","TOTAL",36376.1157272571,5.2,32893,5.3
"Shasta","ALL GROUPS","TOTAL",697685.117621075,100,625510,100
"Sierra","Vehicle Driver","Auto / Van / Truck D",5872.82794790194,70.3,5092,67.3
"Sierra","&nbsp;","Motorcycle / Scooter",29.4233292934367,0.4,29,0.4
"Sierra","&nbsp;","TOTAL",5902.25127719538,70.7,5121,67.7
"Sierra","Local Public Transit","School Bus ",823.336488202686,9.9,823,10.9
"Sierra","&nbsp;","TOTAL",823.336488202686,9.9,907,12
"Sierra","Vehicle Passenger","Auto / Van / Truck P",346.215534736273,4.1,346,4.6
"Sierra","&nbsp;","Taxi / Hired Car / L",93.1732457730904,1.1,NA,NA
"Sierra","&nbsp;","TOTAL",439.388780509364,5.3,346,4.6
"Sierra","Miscelleneous Modes","Walk",1096.66684677449,13.1,1097,14.5
"Sierra","&nbsp;","Bike",92.1772087861031,1.1,92,1.2
"Sierra","&nbsp;","TOTAL",1188.84405556059,14.2,1189,15.7
"Sierra","ALL GROUPS","TOTAL",8353.82060146802,100,7563,100
"Siskiyou","Vehicle Driver","Auto / Van / Truck D",103026.894560817,60.7,89050,58.7
"Siskiyou","&nbsp;","TOTAL",103026.894560817,60.7,89050,58.7
"Siskiyou","Vehicle Passenger","Auto / Van / Truck P",47181.4708073332,27.8,44550,29.4
"Siskiyou","&nbsp;","Carpool / Vanpool",478.304899516682,0.3,478,0.3
"Siskiyou","&nbsp;","Taxi / Hired Car / L",33.3880844781825,0,33,0
"Siskiyou","&nbsp;","TOTAL",47693.163791328,28.1,45062,29.7
"Siskiyou","Local Public Transit","School Bus ",3792.5995808607,2.2,3305,2.2
"Siskiyou","&nbsp;","Local Bus, Rapid Bus",53.9580784951478,0,54,0
"Siskiyou","&nbsp;","Dial-a-Ride / Paratr",33.3880844781825,0,33,0
"Siskiyou","&nbsp;","TOTAL",3879.94574383403,2.3,3393,2.2
"Siskiyou","Miscelleneous Modes","Walk",10471.6824732986,6.2,9471,6.2
"Siskiyou","&nbsp;","Bike",4764.92401333512,2.8,4765,3.1
"Siskiyou","&nbsp;","TOTAL",15236.6064866337,9,14236,9.4
"Siskiyou","ALL GROUPS","TOTAL",169836.610582613,100,151741,100
"Solano","Vehicle Driver","Auto / Van / Truck D",1029515.17448262,62.6,868379,61.5
"Solano","&nbsp;","Motorcycle / Scooter",9789.16649761078,0.6,9789,0.7
"Solano","&nbsp;","Rental Car/Vehicle",501.083916213518,0,501,0
"Solano","&nbsp;","TOTAL",1039805.42489645,63.2,878669,62.2
"Solano","Vehicle Passenger","Auto / Van / Truck P",446280.09101159,27.1,391415,27.7
"Solano","&nbsp;","Carpool / Vanpool",21429.8501248709,1.3,18313,1.3
"Solano","&nbsp;","Other Private Transi",3072.91606514097,0.2,3073,0.2
"Solano","&nbsp;","Private shuttle (Sup",2532.81367388197,0.2,2533,0.2
"Solano","&nbsp;","Taxi / Hired Car / L",1082.15248622889,0.1,364,0
"Solano","&nbsp;","TOTAL",474397.823361713,28.8,415698,29.4
"Solano","Local Public Transit","Local Bus, Rapid Bus",7878.30860718095,0.5,5837,0.4
"Solano","&nbsp;","School Bus ",4069.60944666081,0.2,4070,0.3
"Solano","&nbsp;","Express Bus / Commut",3554.38154620378,0.2,3554,0.3
"Solano","&nbsp;","BART, Metro Red / Pu",1534.07987078752,0.1,4410,0.3
"Solano","&nbsp;","ACE, Amtrak, Caltrai",622.354894831024,0,622,0
"Solano","&nbsp;","TOTAL",17658.7343656641,1.1,18493,1.3
"Solano","Intercity Public Transportation","Greyhound Bus",2961.53763710465,0.2,2962,0.2
"Solano","&nbsp;","Plane",631.683973173592,0,2505,0.2
"Solano","&nbsp;","TOTAL",3593.22161027824,0.2,5467,0.4
"Solano","Miscelleneous Modes","Walk",90345.0039038417,5.5,76945,5.4
"Solano","&nbsp;","Bike",13159.4233048692,0.8,13062,0.9
"Solano","&nbsp;","Wheelchair / Mobilit",2864.86148100791,0.2,2865,0.2
"Solano","&nbsp;","Other Non-Motorized ",2225.03661325861,0.1,1285,0.1
"Solano","&nbsp;","Ferry / Boat",928.176257270759,0.1,301,0
"Solano","&nbsp;","TOTAL",109522.501560248,6.7,94459,6.7
"Solano","ALL GROUPS","TOTAL",1644977.70579435,100,1412787,100
"Sonoma","Vehicle Driver","Auto / Van / Truck D",1265460.13843053,63.6,1137354,64.4
"Sonoma","&nbsp;","Motorcycle / Scooter",7910.79100678016,0.4,7911,0.4
"Sonoma","&nbsp;","Rental Car/Vehicle",617.677714586099,0,618,0
"Sonoma","&nbsp;","TOTAL",1273988.6071519,64.1,1145883,64.9
"Sonoma","Vehicle Passenger","Auto / Van / Truck P",452799.095258083,22.8,392737,22.3
"Sonoma","&nbsp;","Carpool / Vanpool",14100.2169202504,0.7,13457,0.8
"Sonoma","&nbsp;","Private shuttle (Sup",3663.37651487971,0.2,3500,0.2
"Sonoma","&nbsp;","Other Private Transi",1306.81367039761,0.1,377,0
"Sonoma","&nbsp;","Taxi / Hired Car / L",1273.49310448826,0.1,213,0
"Sonoma","&nbsp;","TOTAL",473142.995468099,23.8,410285,23.2
"Sonoma","Local Public Transit","School Bus ",7953.72754341631,0.4,7954,0.5
"Sonoma","&nbsp;","Local Bus, Rapid Bus",5265.20874655678,0.3,2911,0.2
"Sonoma","&nbsp;","Express Bus / Commut",2862.47178307762,0.1,2862,0.2
"Sonoma","&nbsp;","TOTAL",16081.4080730507,0.8,13879,0.8
"Sonoma","Intercity Public Transportation","Plane",2763.89842898615,0.1,2148,0.1
"Sonoma","&nbsp;","TOTAL",2763.89842898615,0.1,2148,0.1
"Sonoma","Miscelleneous Modes","Walk",186655.059070888,9.4,158842,9
"Sonoma","&nbsp;","Bike",35901.1587447067,1.8,33403,1.9
"Sonoma","&nbsp;","Wheelchair / Mobilit",332.543947963535,0,333,0
"Sonoma","&nbsp;","TOTAL",222888.761763558,11.2,192578,10.9
"Sonoma","ALL GROUPS","TOTAL",1988865.6708856,100,1764772,100
"Stanislaus","Vehicle Driver","Auto / Van / Truck D",1022095.12400363,57.7,912193,58.7
"Stanislaus","&nbsp;","Motorcycle / Scooter",5867.40132373009,0.3,5867,0.4
"Stanislaus","&nbsp;","Rental Car/Vehicle",637.713283456691,0,638,0
"Stanislaus","&nbsp;","TOTAL",1028600.23861081,58.1,918698,59.1
"Stanislaus","Vehicle Passenger","Auto / Van / Truck P",498614.550280815,28.2,459913,29.6
"Stanislaus","&nbsp;","Carpool / Vanpool",5104.01651003671,0.3,5190,0.3
"Stanislaus","&nbsp;","Private shuttle (Sup",1313.12494751997,0.1,1313,0.1
"Stanislaus","&nbsp;","TOTAL",505031.691738372,28.5,466416,30
"Stanislaus","Local Public Transit","School Bus ",22855.4226195492,1.3,22855,1.5
"Stanislaus","&nbsp;","Local Bus, Rapid Bus",11164.2067051971,0.6,7340,0.5
"Stanislaus","&nbsp;","ACE, Amtrak, Caltrai",93.8123135233324,0,284,0
"Stanislaus","&nbsp;","TOTAL",34113.4416382697,1.9,30479,2
"Stanislaus","Miscelleneous Modes","Walk",181786.089495204,10.3,121064,7.8
"Stanislaus","&nbsp;","Bike",18113.4525104076,1,15423,1
"Stanislaus","&nbsp;","Wheelchair / Mobilit",1635.68789312975,0.1,1636,0.1
"Stanislaus","&nbsp;","Other Non-Motorized ",1128.16198049291,0.1,1128,0.1
"Stanislaus","&nbsp;","TOTAL",202663.391879234,11.4,139251,9
"Stanislaus","ALL GROUPS","TOTAL",1770408.76386669,100,1554844,100
"Sutter","Vehicle Driver","Auto / Van / Truck D",259903.192463097,61.3,229220,62
"Sutter","&nbsp;","Rental Car/Vehicle",378.795099945272,0.1,NA,NA
"Sutter","&nbsp;","TOTAL",260281.987563043,61.4,229220,62
"Sutter","Vehicle Passenger","Auto / Van / Truck P",120950.404118355,28.5,110567,29.9
"Sutter","&nbsp;","Private shuttle (Sup",543.751876486131,0.1,544,0.1
"Sutter","&nbsp;","Carpool / Vanpool",155.141586719234,0,155,0
"Sutter","&nbsp;","TOTAL",121649.29758156,28.7,111266,30.1
"Sutter","Local Public Transit","Local Bus, Rapid Bus",6526.59323715111,1.5,4976,1.3
"Sutter","&nbsp;","School Bus ",4195.26563712951,1,4195,1.1
"Sutter","&nbsp;","TOTAL",10721.8588742806,2.5,9172,2.5
"Sutter","Miscelleneous Modes","Walk",27095.6400524534,6.4,14913,4
"Sutter","&nbsp;","Bike",3485.44599168856,0.8,3485,0.9
"Sutter","&nbsp;","Other Non-Motorized ",1011.250566286,0.2,1011,0.3
"Sutter","&nbsp;","TOTAL",31592.336610428,7.4,19410,5.3
"Sutter","ALL GROUPS","TOTAL",424245.480629311,100,369504,100
"Tehama","Vehicle Driver","Auto / Van / Truck D",117919.056927564,58.6,108690,58.9
"Tehama","&nbsp;","Rental Car/Vehicle",7056.19381131338,3.5,7056,3.8
"Tehama","&nbsp;","Motorcycle / Scooter",311.321368152579,0.2,311,0.2
"Tehama","&nbsp;","TOTAL",125286.57210703,62.3,116058,62.9
"Tehama","Vehicle Passenger","Auto / Van / Truck P",49365.093330813,24.5,45902,24.9
"Tehama","&nbsp;","Private shuttle (Sup",935.639570232461,0.5,936,0.5
"Tehama","&nbsp;","Carpool / Vanpool",749.394318909937,0.4,486,0.3
"Tehama","&nbsp;","TOTAL",51050.1272199554,25.4,47323,25.6
"Tehama","Local Public Transit","School Bus ",2011.19257726464,1,2319,1.3
"Tehama","&nbsp;","Local Bus, Rapid Bus",1332.9100903884,0.7,601,0.3
"Tehama","&nbsp;","TOTAL",3344.10266765304,1.7,2920,1.6
"Tehama","Intercity Public Transportation","Plane",74.8110087191694,0,NA,NA
"Tehama","&nbsp;","TOTAL",74.8110087191694,0,NA,NA
"Tehama","Miscelleneous Modes","Walk",19234.5809263017,9.6,16197,8.8
"Tehama","&nbsp;","Bike",2050.58325179761,1,2051,1.1
"Tehama","&nbsp;","Other Rail      ",86.3354628031384,0,NA,NA
"Tehama","&nbsp;","TOTAL",21371.4996409025,10.6,18248,9.9
"Tehama","ALL GROUPS","TOTAL",201127.112644261,100,184549,100
"Trinity","Vehicle Driver","Auto / Van / Truck D",33147.0837243554,65.6,28358,64.8
"Trinity","&nbsp;","Rental Car/Vehicle",35.9204401342692,0.1,NA,NA
"Trinity","&nbsp;","TOTAL",33183.0041644897,65.7,28358,64.8
"Trinity","Vehicle Passenger","Auto / Van / Truck P",14468.6339758231,28.6,12745,29.1
"Trinity","&nbsp;","Carpool / Vanpool",26.6027095088806,0.1,27,0.1
"Trinity","&nbsp;","TOTAL",14495.236685332,28.7,12771,29.2
"Trinity","Local Public Transit","School Bus ",1123.67496494211,2.2,948,2.2
"Trinity","&nbsp;","TOTAL",1123.67496494211,2.2,948,2.2
"Trinity","Intercity Public Transportation","Plane",35.9204401342692,0.1,NA,NA
"Trinity","&nbsp;","TOTAL",35.9204401342692,0.1,NA,NA
"Trinity","Miscelleneous Modes","Walk",1414.56865583036,2.8,1415,3.2
"Trinity","&nbsp;","Wheelchair / Mobilit",220.92943536682,0.4,221,0.5
"Trinity","&nbsp;","Bike",58.944403095287,0.1,59,0.1
"Trinity","&nbsp;","TOTAL",1694.44249429247,3.4,1694,3.9
"Trinity","ALL GROUPS","TOTAL",50532.2787491905,100,43772,100
"Tulare","Vehicle Driver","Auto / Van / Truck D",938130.80293616,57.7,811730,58.4
"Tulare","&nbsp;","Motorcycle / Scooter",1012.70230738605,0.1,1013,0.1
"Tulare","&nbsp;","Rental Car/Vehicle",271.009745022946,0,271,0
"Tulare","&nbsp;","TOTAL",939414.514988568,57.8,813014,58.5
"Tulare","Vehicle Passenger","Auto / Van / Truck P",432249.487814876,26.6,379051,27.3
"Tulare","&nbsp;","Carpool / Vanpool",4828.71549013762,0.3,4829,0.3
"Tulare","&nbsp;","Other Private Transi",3260.0965133266,0.2,3260,0.2
"Tulare","&nbsp;","Private shuttle (Sup",537.390162240638,0,537,0
"Tulare","&nbsp;","TOTAL",440875.689980581,27.1,387677,27.9
"Tulare","Local Public Transit","School Bus ",41605.6059529878,2.6,39303,2.8
"Tulare","&nbsp;","Local Bus, Rapid Bus",8534.52149506255,0.5,7678,0.6
"Tulare","&nbsp;","Other Bus",376.537148885346,0,377,0
"Tulare","&nbsp;","TOTAL",50516.6645969357,3.1,47585,3.4
"Tulare","Intercity Public Transportation","Plane",2205.43724141291,0.1,1380,0.1
"Tulare","&nbsp;","TOTAL",2205.43724141291,0.1,1380,0.1
"Tulare","Miscelleneous Modes","Walk",178361.489354542,11,127113,9.1
"Tulare","&nbsp;","Bike",11759.409298554,0.7,10811,0.8
"Tulare","&nbsp;","Wheelchair / Mobilit",1757.04938115581,0.1,1247,0.1
"Tulare","&nbsp;","Other Non-Motorized ",1589.54677223526,0.1,1590,0.1
"Tulare","&nbsp;","TOTAL",193467.494806487,11.9,140761,10.1
"Tulare","ALL GROUPS","TOTAL",1626479.80161398,100,1390418,100
"Tuolumne","Vehicle Driver","Auto / Van / Truck D",137712.547969807,65.1,118444,66.2
"Tuolumne","&nbsp;","Motorcycle / Scooter",1791.97606180923,0.8,1168,0.7
"Tuolumne","&nbsp;","Rental Car/Vehicle",84.3139608333094,0,84,0
"Tuolumne","&nbsp;","TOTAL",139588.837992449,66,119696,66.9
"Tuolumne","Vehicle Passenger","Auto / Van / Truck P",48998.5396441765,23.2,40236,22.5
"Tuolumne","&nbsp;","Other Private Transi",2215.40198475707,1,2215,1.2
"Tuolumne","&nbsp;","Carpool / Vanpool",1681.24288802774,0.8,1255,0.7
"Tuolumne","&nbsp;","Private shuttle (Sup",169.060387626998,0.1,169,0.1
"Tuolumne","&nbsp;","TOTAL",53064.2449045883,25.1,43876,24.5
"Tuolumne","Local Public Transit","School Bus ",3202.43374809673,1.5,3202,1.8
"Tuolumne","&nbsp;","Public Transit Shutt",722.961708932617,0.3,723,0.4
"Tuolumne","&nbsp;","Local Bus, Rapid Bus",370.257795907574,0.2,370,0.2
"Tuolumne","&nbsp;","Dial-a-Ride / Paratr",168.238762963267,0.1,168,0.1
"Tuolumne","&nbsp;","TOTAL",4463.89201590019,2.1,4503,2.5
"Tuolumne","Intercity Public Transportation","Plane",1547.51149201295,0.7,1571,0.9
"Tuolumne","&nbsp;","TOTAL",1547.51149201295,0.7,1571,0.9
"Tuolumne","Miscelleneous Modes","Walk",11798.6558586707,5.6,8227,4.6
"Tuolumne","&nbsp;","Bike",1063.12236598511,0.5,1063,0.6
"Tuolumne","&nbsp;","Other Non-Motorized ",28.9169152736419,0,29,0
"Tuolumne","&nbsp;","TOTAL",12890.6951399295,6.1,9319,5.2
"Tuolumne","ALL GROUPS","TOTAL",211555.18154488,100,178965,100
"Ventura","Vehicle Driver","Auto / Van / Truck D",1814018.33077678,61.3,1574220,61.8
"Ventura","&nbsp;","Motorcycle / Scooter",10616.1878803087,0.4,9429,0.4
"Ventura","&nbsp;","Rental Car/Vehicle",3826.09330801517,0.1,2103,0.1
"Ventura","&nbsp;","TOTAL",1828460.61196511,61.8,1585752,62.3
"Ventura","Vehicle Passenger","Auto / Van / Truck P",748761.495075519,25.3,654334,25.7
"Ventura","&nbsp;","Carpool / Vanpool",21554.5661797917,0.7,18789,0.7
"Ventura","&nbsp;","Taxi / Hired Car / L",5642.82503724602,0.2,3855,0.2
"Ventura","&nbsp;","Private shuttle (Sup",2140.10950472681,0.1,2138,0.1
"Ventura","&nbsp;","Other Private Transi",97.4452648773058,0,97,0
"Ventura","&nbsp;","TOTAL",778196.441062161,26.3,679213,26.7
"Ventura","Local Public Transit","School Bus ",29911.2783610537,1,26452,1
"Ventura","&nbsp;","Local Bus, Rapid Bus",12599.1309770687,0.4,9015,0.4
"Ventura","&nbsp;","ACE, Amtrak, Caltrai",7404.67599175315,0.3,6192,0.2
"Ventura","&nbsp;","Express Bus / Commut",2575.13015352033,0.1,2575,0.1
"Ventura","&nbsp;","Other Bus",796.835867175534,0,797,0
"Ventura","&nbsp;","Amtrak Bus ",641.79988010177,0,NA,NA
"Ventura","&nbsp;","Dial-a-Ride / Paratr",383.195953751048,0,383,0
"Ventura","&nbsp;","Metro Blue / Green /",78.1275391562773,0,78,0
"Ventura","&nbsp;","TOTAL",54390.1747235805,1.8,46988,1.8
"Ventura","Intercity Public Transportation","Plane",3571.93115770382,0.1,5306,0.2
"Ventura","&nbsp;","TOTAL",3571.93115770382,0.1,5306,0.2
"Ventura","Miscelleneous Modes","Walk",256504.918424412,8.7,195114,7.7
"Ventura","&nbsp;","Bike",35992.4934387518,1.2,33199,1.3
"Ventura","&nbsp;","Ferry / Boat",618.119536311854,0,NA,NA
"Ventura","&nbsp;","Other Non-Motorized ",611.786852821975,0,612,0
"Ventura","&nbsp;","TOTAL",293727.318252298,9.9,228924,9
"Ventura","ALL GROUPS","TOTAL",2958346.47716085,100,2546184,100
"Yolo","Vehicle Driver","Auto / Van / Truck D",515954.361944672,59.8,453013,59.3
"Yolo","&nbsp;","Motorcycle / Scooter",2628.60678460713,0.3,2629,0.3
"Yolo","&nbsp;","Rental Car/Vehicle",577.591962917864,0.1,578,0.1
"Yolo","&nbsp;","TOTAL",519160.560692197,60.1,456219,59.8
"Yolo","Vehicle Passenger","Auto / Van / Truck P",162372.788717114,18.8,152690,20
"Yolo","&nbsp;","Carpool / Vanpool",10468.5754892463,1.2,10469,1.4
"Yolo","&nbsp;","Taxi / Hired Car / L",836.949206908393,0.1,NA,NA
"Yolo","&nbsp;","Other Private Transi",768.992550791075,0.1,769,0.1
"Yolo","&nbsp;","TOTAL",174447.30596406,20.2,163927,21.5
"Yolo","Local Public Transit","Local Bus, Rapid Bus",8435.22344098609,1,7503,1
"Yolo","&nbsp;","Express Bus / Commut",4341.16401716338,0.5,4341,0.6
"Yolo","&nbsp;","School Bus ",2899.31354955962,0.3,2899,0.4
"Yolo","&nbsp;","ACE, Amtrak, Caltrai",1046.85181044456,0.1,797,0.1
"Yolo","&nbsp;","Public Transit Shutt",437.535821265407,0.1,438,0.1
"Yolo","&nbsp;","Other Bus",87.8190543937331,0,NA,NA
"Yolo","&nbsp;","TOTAL",17247.9076938128,2,16489,2.2
"Yolo","Intercity Public Transportation","Plane",1709.32155447449,0.2,3132,0.4
"Yolo","&nbsp;","TOTAL",1709.32155447449,0.2,3132,0.4
"Yolo","Miscelleneous Modes","Walk",92406.2334418961,10.7,68754,9
"Yolo","&nbsp;","Bike",57161.6975999567,6.6,53609,7
"Yolo","&nbsp;","Other Non-Motorized ",1253.96539509746,0.1,1254,0.2
"Yolo","&nbsp;","TOTAL",150821.89643695,17.5,123617,16.2
"Yolo","ALL GROUPS","TOTAL",863386.992341494,100,763384,100
"Yuba","Vehicle Driver","Auto / Van / Truck D",136698.741599602,55.9,118350,55.7
"Yuba","&nbsp;","Motorcycle / Scooter",235.644705750581,0.1,236,0.1
"Yuba","&nbsp;","TOTAL",136934.386305352,56,118586,55.9
"Yuba","Vehicle Passenger","Auto / Van / Truck P",74650.7225849176,30.5,68466,32.3
"Yuba","&nbsp;","Carpool / Vanpool",3348.55044625371,1.4,3349,1.6
"Yuba","&nbsp;","Private shuttle (Sup",190.914174334622,0.1,191,0.1
"Yuba","&nbsp;","TOTAL",78190.1872055059,32,72006,33.9
"Yuba","Local Public Transit","School Bus ",7987.43639820181,3.3,7815,3.7
"Yuba","&nbsp;","Local Bus, Rapid Bus",4228.22533834223,1.7,3521,1.7
"Yuba","&nbsp;","Express Bus / Commut",135.2624447961,0.1,135,0.1
"Yuba","&nbsp;","TOTAL",12350.9241813401,5,11472,5.4
"Yuba","Miscelleneous Modes","Walk",13730.2051138224,5.6,6822,3.2
"Yuba","&nbsp;","Bike",2753.35967175184,1.1,2753,1.3
"Yuba","&nbsp;","Wheelchair / Mobilit",654.966781428039,0.3,655,0.3
"Yuba","&nbsp;","TOTAL",17138.5315670023,7,10230,4.8
"Yuba","ALL GROUPS","TOTAL",244614.029259201,100,212294,100
