"TABLE 13: Weekday Person and Driver Trips Per Household"
""
"County","HHSIZ","Single.nnpt","Multiple.nnpt","Total.nnpt","Single.nndt","Multiple.nndt","Total.nndt"
"Calaveras","5+",9.95770151257573,NA,9.95770151257573,5.19038539664974,NA,5.19038539664974
"Calaveras","Total",6.1308251146441,2.20482202860861,5.75492542619982,4.25259244614589,1.70036277980868,4.00822627643327
"California","1",2.51971366847793,2.35569745592586,2.44594617289195,2.25734521579614,1.82994043384178,2.06511677767002
"California","2",4.94177393895093,5.3915229543543,5.02328494110931,3.97177105729793,3.65297665489432,3.91399382970557
"California","3",9.39237527430788,9.5559027683785,9.41521911581593,6.87356258431513,5.6133212135609,6.69751418157399
"California","4",13.9160844065721,13.43956131207,13.849809638953,8.53163155609097,6.71447060338523,8.27890105623367
"California","5+",17.1773843789425,15.6788596851886,16.9405875029353,8.97618144759854,6.32106558908878,8.55662003272636
"California","Total",8.70927207540744,6.07089543429585,8.10292583080592,5.75082465720405,3.52218424307385,5.23864314201837
"Colusa","1",1.34923178561714,NA,1.12901417215352,1.33376724091556,NA,1.1160737046074
"Colusa","2",10.9680810569123,2.71339255199183,10.7220422798564,8.64635359153091,2.71339255199183,8.46951609153095
"Colusa","3",5.99176184969019,NA,5.99176184969019,5.31475517596974,NA,5.31475517596974
"Colusa","4",8.55097028111534,NA,8.55097028111534,4.80332398658467,NA,4.80332398658467
"Colusa","5+",15.1124025812001,NA,15.1124025812001,8.8462119006738,NA,8.8462119006738
"Colusa","Total",8.12855931073132,0.485248182530238,7.75236395227922,5.80076322125414,0.485248182530238,5.53913942342493
"Contra Costa","1",2.49079260034009,2.29468062158108,2.4210327511715,2.21626690321815,1.70608424177306,2.03478759871032
"Contra Costa","2",5.58896135515412,5.32960552949725,5.56306767323648,4.36487775584306,3.86829159893457,4.31529936692843
"Contra Costa","3",9.75323394673316,14.5875270959548,10.2902186453262,6.97658135566707,7.02658979125568,6.98213620389054
"Contra Costa","4",15.1709889202867,11.5726918487845,14.8869583537411,9.08983434663065,5.62238460019094,8.81613217685998
"Contra Costa","5+",19.5513023305632,15.4789151120831,19.2033085749801,10.6199681565381,8.17345165251518,10.4109083543494
"Contra Costa","Total",9.10971425913152,5.90892369894175,8.60665846454979,6.02479466320304,3.47076837260004,5.62338829160784
"Del Norte","1",2.05849187928739,0.766796808058167,1.68184055335554,1.99687835907179,0.766796808058167,1.63819320379541
"Del Norte","2",7.05008175373616,0.930522125818884,5.76261940518217,5.78872395629722,0.68733799194315,4.71546987366923
"Del Norte","3",9.66790966273476,3.39795166792704,9.37588296399267,7.68994368270754,1.40871139045169,7.39739187743887
"Del Norte","4",22.0966217018153,29.2680319328325,23.0034292524974,14.4746802589824,14.1679123642898,14.4358901975785
